id,retweet_count,favorite_count
845098359547420673,6908,0
844979544864018432,2304,12630
844973813909606400,2835,13874
844580511645339650,2800,15228
844223788422217728,1981,12646
843981021012017153,2691,14052
843856843873095681,4151,19880
843604394117681152,2471,15636
843235543001513987,5374,19883
842846295480000512,3304,14166
842765311967449089,1173,6274
842535590457499648,3160,16847
842163532590374912,5233,22641
842115215311396866,2746,12980
841833993020538882,13496,0
841680585030541313,7122,23951
841439858740625411,3297,11679
841320156043304961,5004,18348
841314665196081154,4215,14683
841077006473256960,4871,21264
840761248237133825,1615,0
840728873075638272,14536,0
840698636975636481,2,163
840696689258311684,888,11420
840632337062862849,1615,8387
840370681858686976,4166,15286
840268004936019968,5193,17822
839990271299457024,2060,12497
839549326359670784,7029,25473
839290600511926273,132,0
839239871831150596,5902,25131
838952994649550848,3650,18298
838921590096166913,1850,10381
838916489579200512,31,0
838831947270979586,9975,0
838561493054533637,1229,10205
838476387338051585,4323,20884
838201503651401729,9133,0
838150277551247360,300,1563
838085839343206401,1,134
838083903487373313,2827,16402
837820167694528512,7125,31717
837482249356513284,403,3589
837471256429613056,2056,11944
837110210464448512,2172,15022
836989968035819520,2104,11897
836753516572119041,4242,18049
836677758902222849,2015,11802
836648853927522308,505,0
836397794269200385,24946,0
836380477523124226,2739,13863
836260088725786625,3964,19872
836001077879255040,3869,17816
835685285446955009,7383,0
835574547218894849,3283,16578
835536468978302976,1536,0
835309094223372289,19062,0
835297930240217089,2732,15380
835264098648616962,1536,7187
835246439529840640,63,1983
835172783151792128,5278,24483
835152434251116546,2749,20872
834931633769889797,1484,10061
834786237630337024,5091,20144
834574053763584002,2298,12755
834477809192075265,9721,0
834458053273591808,1542,8997
834209720923721728,4309,19165
834167344700198914,3348,14790
834089966724603904,1958,9414
834086379323871233,2034,12187
833863086058651648,2195,12562
833826103416520705,3475,17020
833732339549220864,202,0
833722901757046785,2981,19611
833479644947025920,1883,13951
833124694597443584,4422,18911
832998151111966721,2001,12382
832769181346996225,38,0
832757312314028032,3308,15782
832682457690300417,2655,11094
832645525019123713,483,2718
832636094638288896,2545,14831
832397543355072512,2032,11198
832369877331693569,2907,16013
832273440279240704,2135,10611
832215909146226688,5686,0
832215726631055365,8543,0
832088576586297345,2,59
832040443403784192,8770,0
832032802820481025,4285,16692
831939777352105988,5632,22387
831926988323639298,34,319
831911600680497154,5944,25727
831670449226514432,1681,9754
831650051525054464,1782,6656
831552930092285952,2149,8425
831322785565769729,1434,8723
831315979191906304,1035,6153
831309418084069378,2251,11040
831262627380748289,1881,11097
830956169170665475,1373,7476
830583320585068544,15328,62114
830173239259324417,5215,0
830097400375152640,2676,9111
829878982036299777,4576,0
829861396166877184,1784,11470
829501995190984704,9721,29756
829449946868879360,1849,9834
829141528400556032,6733,22807
829011960981237760,15028,50071
828801551087042563,3144,0
828770345708580865,5368,23975
828708714936930305,10261,34093
828650029636317184,1231,8908
828409743546925057,1075,6017
828408677031882754,1181,7220
828381636999917570,2051,11809
828376505180889089,987,6964
828372645993398273,2712,11820
828361771580813312,165,2058
828046555563323392,2642,11009
828011680017821696,1978,9733
827933404142436356,4798,18755
827653905312006145,2786,14532
827600520311402496,861,7032
827324948884643840,2790,14883
827199976799354881,2047,9956
826958653328592898,4576,20221
826848821049180160,9285,33876
826615380357632002,3660,0
826598799820865537,229,4835
826598365270007810,2171,9402
826476773533745153,3875,17293
826240494070030336,2406,12475
826204788643753985,851,4580
826115272272650244,2845,14672
825876512159186944,1728,9873
825829644528148480,2321,11964
825535076884762624,16270,53740
825147591692263424,4157,17171
825120256414846976,1162,0
825026590719483904,1162,5877
824796380199809024,5067,0
824775126675836928,3253,13990
824663926340194305,1633,9897
824325613288833024,9837,11111
824297048279236611,3544,14148
824025158776213504,557,4564
823939628516474880,2518,10018
823719002937630720,10290,0
823699002998870016,2328,13139
823581115634085888,2431,12198
823333489516937216,22,662
823322678127919110,3694,14756
823269594223824897,9167,0
822975315408461824,3183,16291
822872901745569793,39663,123426
822859134160621569,2100,12390
822647212903690241,5922,0
822610361945911296,2713,13902
822489057087389700,5922,17025
822462944365645825,13055,26160
822244816520155136,9167,32959
822163064745328640,4342,0
821886076407029760,2125,10620
